Name,lon,lat,District,District_c,Gr_ml_cm,Ho_size_r,Ho_size_u,Mg_fl_cl,Pop_2001,Pop_2011,Pop_2013,Pop_g_r,Pop_g_u,Population,Source,State,State_code,Township,Township_c,Village,Village_co,Village_fa,Village_hh,Village_po,Villagetra,Vt_code,Vt_hh,Vt_pop
Htan Yan,97.3693891,20.4683267,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Htan Yan,16010404001,0,0,0,Nar Khite,,0,0
Nampaing,97.5402218,23.0035765,kyaukme,1503,20,6.98,5.59,1.14,200,221,,0.0066,0.0114,221,DRD,Shan (North),15,namtu,150308,Nampaing,15030815009,,34,200,(loinyin)nammyaw,,165,962
Hopong,98.5818431,23.3757066,Kum Lone,1504,20,6.98,5.59,1.14,,0,,0.0066,0.0114,0,DRD,Shan (North),15,Kum Lone,150416,Hopong,15041625006,,,,Pharphain,,,
Myin Hte Kan,96.7793775,20.2708827,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Naung Ta Yar,160112,Myin Hte Kan,16011209010,21,21,,Nan Pu Lin,16011209,1095,4877
Manloihkeng,98.4809228,23.1161685,Lashio,1501,20,6.98,5.59,1.14,12,13,,0.0066,0.0114,13,DRD,Shan (North),15,Lashio,150101,Manloihkeng,15010158009,4,0,12,Manlone,,257,1073
Ho lin (paw),98.4107669,23.1209563,Lashio,1501,20,6.98,5.59,1.14,310,342,,0.0066,0.0114,342,DRD,Shan (North),15,Lashio,150101,Ho lin (paw),15010161002,70,0,310,Holin,,445,1714
Mine Hypet (Lai),96.9767928,19.9366721,Taunggyi,1601,19,6.05,5.46,1,100,110,,0.0066,0.0114,110,DRD,Shan (South),16,phekhon,160103,Mine Hypet (Lai),16010306005,50,50,100,Kone Son,16010306,484,2749
Kong Hlan,97.6521153,21.3863913,Taunggyi,1601,19,6.05,5.46,1,94,104,,0.0066,0.0114,104,DRD,Shan (South),16,Lae Char,160206,Kong Hlan,16020606007,14,14,94,Pong Nay,16020606,279,1659
Innne (theinkan),96.8240637,20.8124207,Taunggyi,1601,19,6.05,5.46,1,274,302,,0.0066,0.0114,302,DRD,Shan (South),16,Kalaw,160102,Innne (theinkan),16010222008,52,52,274,,16010222,889,4263
Panho,99.07206,21.77738,Kyaington,1701,20,5.44,5.2,1.14,35,39,,0.0066,0.0114,39,DRD,Shan (East),17,Mongket,170102,Panho,17010211012,8,7,35,Pakhalone,17010211,254,1182
Na Ngi,98.0531059,22.3553593,Lashio,1501,20,6.98,5.59,1.14,65,72,,0.0066,0.0114,72,DRD,Shan (North),15,Mongyai,150104,Na Ngi,15010415007,,12,65,Na Hko,15010415,275,1285
Koung Hong,97.7003676,20.9096579,Loilem,1602,19,6.05,5.46,1,211,233,,0.0066,0.0114,233,DRD,Shan (South),16,NamSan,160202,Koung Hong,16020201002,40,40,211,Wam Pong,16020201,786,4255
Man Hing,97.8759798,22.5983806,Lashio,1501,20,6.98,5.59,1.14,80,88,,0.0066,0.0114,88,DRD,Shan (North),15,Mongyai,150104,Man Hing,15010405006,,25,80,Loi Ngun,15010405,463,1989
Wam Yoke,97.8662222,21.9876597,Taunggyi,1601,19,6.05,5.46,1,61,67,,0.0066,0.0114,67,DRD,Shan (South),16,KyiThe,160211,Wam Yoke,16021103008,7,7,61,Wam Hpwe,16021103,330,3017
Kaikaw,97.8186578,23.8910611,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Kaikaw,15021206002,,0,0,,,0,0
Kaung-khan,99.5714072,21.329092,kyaington,1701,20,5.44,5.2,1.14,156,172,,0.0066,0.0114,172,DRD,Shan (East),17,kyaington,170101,Kaung-khan,17010104015,21,21,156,Kattyeik,17010104,1233,6699
Toe Khaung,96.78497,20.10271,Taunggyi,1601,19,6.05,5.46,1,535,590,,0.0066,0.0114,590,DRD,Shan (South),16,Pin Laung,160108,Toe Khaung,16010801006,112,112,535,Pin Laung,16010801,506,2335
Dabnan,97.1387799,23.6179178,kyaukme,1503,20,6.98,5.59,1.14,155,171,,0.0066,0.0114,171,DRD,Shan (North),15,Mabaine,150311,Dabnan,15031120002,,35,155,loisaing,,257,1084
Mongngon,99.9576779,21.2583299,kyaington,1701,20,5.44,5.2,1.14,114,126,,0.0066,0.0114,126,DRD,Shan (East),17,kyaington,170101,Mongngon,17010111003,17,17,114,Mongngon,17010111,203,1818
Pang-kaw,97.7126627,23.0171743,Lashio,1501,20,6.98,5.59,1.14,250,276,,0.0066,0.0114,276,DRD,Shan (North),15,Lashio,150101,Pang-kaw,15010118001,100,0,250,Na-kawn-kong,,605,1356
Kioshio(s),96.9652281,22.5988313,Kyaukme,1503,20,6.98,5.59,1.14,736,812,,0.0066,0.0114,812,DRD,Shan (North),15,Kyaukme,150306,Kioshio(s),15030510001,,103,736,Narhkaw,,215,1894
Hsup-yoi,99.7885507,21.0645328,kyaington,1701,20,5.44,5.2,1.14,152,168,,0.0066,0.0114,168,DRD,Shan (East),17,kyaington,170101,Hsup-yoi,17010123012,30,30,152,Yankha,17010123,521,2675
Aikpanshan,98.5470879,23.4566252,Kum Lone,1504,20,6.98,5.59,1.14,391,431,,0.0066,0.0114,431,DRD,Shan (North),15,Kum Lone,150416,Aikpanshan,15041614011,,45,391,Kanmain,,477,4413
Nam Ook,98.0916286,22.1230784,Taunggyi,1601,19,6.05,5.46,1,54,60,,0.0066,0.0114,60,DRD,Shan (South),16,KyiThe,160211,Nam Ook,16021110013,13,12,54,Wam Work,16021110,358,2054
Natsaleshaw,96.54663768,22.97173323,NULL,NULL,19,5.71,5.27,1,250,298,,0.0117,0.012,298,DRD,Mandalay,1,Magoke,NULL,Natsaleshaw,1010201404,NULL,40,250,Pain-pyit,10103019,NULL,NULL
Kawngsan,98.5609857,23.280255,Kum Lone,1504,20,6.98,5.59,1.14,134,148,,0.0066,0.0114,148,DRD,Shan (North),15,Kum Lone,150416,Kawngsan,15041617004,,35,134,Naungmun,,242,1627
Nyaung Kaing,96.86414,20.202,Taunggyi,1601,19,6.05,5.46,1,307,339,,0.0066,0.0114,339,DRD,Shan (South),16,Pin Laung,160108,Nyaung Kaing,16010805017,60,60,307,Hte Paung,16010805,623,1247
Wanluk,100.418325,21.1878822,Mongpyek,1703,20,5.44,5.2,1.14,322,355,,0.0066,0.0114,355,DRD,Shan (East),17,Mongyaung,170311,Wanluk,17031105008,81,79,322,Wantak,17031105,682,3228
Kawng hsa,97.8540564,23.9518864,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Kawng hsa,15021201004,,0,0,,,0,0
Namhu-awn,97.9328895,23.3922643,Mu Se,1502,20,6.98,5.59,1.14,268,296,,0.0066,0.0114,296,DRD,Shan (North),15,Kaut Khine,150215,Namhu-awn,15021503012,32,32,268,Inmain-Hokyant,15021503,470,3825
Nampalay,97.389064,23.1510882,kyaukme,1503,20,6.98,5.59,1.14,64,71,,0.0066,0.0114,71,DRD,Shan (North),15,namtu,150308,Nampalay,15030817003,,11,64,mainedut,,136,816
Thatkachai,96.49622096,22.10914766,NULL,NULL,19,5.71,5.27,1,776,924,,0.0117,0.012,924,DRD,Mandalay,1,Pyinoolwin,NULL,Thatkachai,1010103602,NULL,231,776,NULL,NULL,NULL,NULL
8 mile gawyakha,96.64426152,22.85407453,NULL,NULL,19,5.71,5.27,1,110,131,,0.0117,0.012,131,DRD,Mandalay,1,Magoke,NULL,8 mile gawyakha,1010201406,NULL,16,110,Pain-pyit,10103019,6760,NULL
WatPhyuyay,96.5127046,20.7039674,Taunggyi,1601,19,6.05,5.46,1,186,205,,0.0066,0.0114,205,DRD,Shan (South),16,Kalaw,160102,WatPhyuyay,16010207003,71,71,186,,16010207,422,1555
Nam-nyu,97.5417278,22.964499,kyaukme,1503,20,6.98,5.59,1.14,104,115,,0.0066,0.0114,115,DRD,Shan (North),15,namtu,150308,Nam-nyu,15030815002,,18,104,narsine,,243,1454
Paw Yar,96.6764175,20.3090305,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Naung Ta Yar,160112,Paw Yar,16011207001,17,17,,Paw Yar,16011207,555,2876
Hnget Yawng,98.79768,21.93694,Kengtung,MMR016D001,,,,,,190,193,,,190,GAD+MIMU,Shan (East),MMR016,Matman,MMR016004,Hnget Yawng,213176,,36,193,Hnget Yawng,MMR016004003,,
Nankauk,97.0800249,23.702627,Banmaw,902,21,7.96,6.01,1.28,32,37,,0.0091,0.0144,37,DRD,Kachin,9,Mansi,90210,Nankauk,9021010004,7,6,32,KaungLwin,9021010,293,1985
Tawpun,98.4646108,23.1033564,Lashio,1501,20,6.98,5.59,1.14,20,22,,0.0066,0.0114,22,DRD,Shan (North),15,Lashio,150101,Tawpun,15010164008,5,0,20,Kawngkawkham,,400,1692
Hpahpun,96.6544054,22.5536656,Kyaukme,1503,20,6.98,5.59,1.14,309,341,,0.0066,0.0114,341,DRD,Shan (North),15,Kyaukme,150306,Hpahpun,15030549002,,36,309,Loisount,,274,2500
KaungHsa,97.6936087,23.8336803,Muse,1502,20,6.98,5.59,1.14,480,530,,0.0066,0.0114,530,DRD,Shan (North),15,Namkham,150213,KaungHsa,15021301001,,96,480,KaungHsa,,344,2059
Lwe Lon,97.2444024,20.7547633,Taunggyi,1601,19,6.05,5.46,1,148,163,,0.0066,0.0114,163,DRD,Shan (South),16,Hopong,160110,Lwe Lon,16011001007,31,18,148,Poung Lin,16011001,1272,9411
Win wa,96.7322831,24.1714465,Bamaw,902,21,7.96,6.01,1.28,654,750,,0.0091,0.0144,750,DRD,Kachin,9,Shwegu,90208,Win wa,9020814002,79,79,654,Naung Lat gyi,9020814,252,2077
Nawngang,97.1723277,22.5482274,Kyaukme,1503,20,6.98,5.59,1.14,87,96,,0.0066,0.0114,96,DRD,Shan (North),15,Kyaukme,150306,Nawngang,15030534002,,10,87,Kyaukmegyi,,362,2635
Hpathar,98.7272334,23.3946743,Kunlong,1504,20,6.98,5.59,1.14,195,215,,0.0066,0.0114,215,DRD,Shan (North),15,Ho Pan,150417,Hpathar,15041702001,,39,195,Hpathar,15041702,,
Maungblauk,96.66387,19.448434,Hpaan,1101,20,6.1,5.69,1.14,360,418,,0.01,0.0218,418,DRD,Kayin,11,Thantaung,110104,Maungblauk,11010444001,0,77,360,Maungblauk,11010444,174,830
Yaypoke,96.7624406,20.8164132,Taunggyi,1601,19,6.05,5.46,1,277,306,,0.0066,0.0114,306,DRD,Shan (South),16,Kalaw,160102,Yaypoke,16010222005,59,59,277,,16010222,889,4263
Hpabayan,97.7800219,23.4940297,Mu Se,1502,20,6.98,5.59,1.14,255,281,,0.0066,0.0114,281,DRD,Shan (North),15,Kaut Khine,150215,Hpabayan,15021535003,27,27,255,Manpu,15021535,256,1866
Pangsum,96.7886048,23.1965959,Kyaukme,1503,20,6.98,5.59,1.14,150,166,,0.0066,0.0114,166,DRD,Shan (North),15,Momeik,150310,Pangsum,15031025002,,31,150,Mangnin,15031025,90,431
Nant-he-wanmai,99.52898,21.88087,Kyaington,1701,20,5.44,5.2,1.14,125,138,,0.0066,0.0114,138,DRD,Shan (East),17,Mongket,170102,Nant-he-wanmai,17010205007,27,20,125,Pha-Lan-kaw,17010205,165,1022
Kawhkoi,100.358561,21.0998751,Mongpyek,1703,20,5.44,5.2,1.14,524,578,,0.0066,0.0114,578,DRD,Shan (East),17,Mongyaung,170311,Kawhkoi,17031104007,88,76,524,Monglai,17031104,476,2817
ManMak,98.3393797,23.0261626,Lashio,1501,20,6.98,5.59,1.14,504,556,,0.0066,0.0114,556,DRD,Shan (North),15,Lashio,150101,ManMak,15010162001,85,0,504,Mankat(Pharphant)_,,352,2074
Pan pe',100.186028,20.7685506,Tachileik,1704,20,5.44,5.2,1.14,206,227,,0.0066,0.0114,227,DRD,Shan (East),17,Kyainglat,170415,Pan pe',17041503007,65,65,206,Nant-khim,17041503,481,2214
Konghsa,98.014349,23.7748483,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Konghsa,15021217003,,0,0,,,0,0
Hteeyetaung,97.0381755,20.0509534,Taunggyi,1601,19,6.05,5.46,1,165,182,,0.0066,0.0114,182,DRD,Shan (South),16,Nyaungshwe,160105,Hteeyetaung,16010532002,25,24,165,Linlantaung,16010532,414,1261
Yanbo(auk),96.6767029,23.6666369,kyaukme,1503,20,6.98,5.59,1.14,961,1060,,0.0066,0.0114,1060,DRD,Shan (North),15,Mabaine,150311,Yanbo(auk),15031110001,,234,961,yanbo,,416,1734
Wan hsong,99.6273885,21.383656,kyaington,1701,20,5.44,5.2,1.14,192,212,,0.0066,0.0114,212,DRD,Shan (East),17,kyaington,170101,Wan hsong,17010105001,27,27,192,Wansaung,17010105,487,3352
Nawi,96.63540218,22.86231491,NULL,NULL,19,5.71,5.27,1,150,179,,0.0117,0.012,179,DRD,Mandalay,1,Magoke,NULL,Nawi,1010202803,NULL,26,150,Nyaung-tawk,10103030,NULL,NULL
Nawng Kham,98.5233733,23.2599597,Kum Lone,1504,20,6.98,5.59,1.14,473,522,,0.0066,0.0114,522,DRD,Shan (North),15,Kum Lone,150416,Nawng Kham,15041617002,,57,473,Naungmun,,242,1627
Tawngma,97.2258012,22.8856041,Kyaukme,1503,20,6.98,5.59,1.14,636,702,,0.0066,0.0114,702,DRD,Shan (North),15,Nam san,150309,Tawngma,15030917001,,92,636,Taungma,,278,1785
Makyipin,96.8631149,20.4439635,Taunggyi,1601,19,6.05,5.46,1,288,318,,0.0066,0.0114,318,DRD,Shan (South),16,Nyaungshwe,160105,Makyipin,16010523003,35,25,288,Kyaypawkong,16010523,1034,6156
Wun Hko,98.57048,21.86051,Kengtung,MMR016D001,,,,,,141,144,,,141,GAD+MIMU,Shan (East),MMR016,Matman,MMR016004,Wun Hko,213227,,25,144,Wein Nawng,MMR016004009,,
Man Kawng,98.2166516,22.2890968,Lashio,1501,20,6.98,5.59,1.14,129,142,,0.0066,0.0114,142,DRD,Shan (North),15,Mongyai,150104,Man Kawng,15010422006,,26,129,Mong Ha Man Pon,15010422,267,1273
Maynitaung,97.3488666,23.1094299,kyaukme,1503,20,6.98,5.59,1.14,504,556,,0.0066,0.0114,556,DRD,Shan (North),15,namtu,150308,Maynitaung,15030805004,,87,504,bawdaoin,,1055,6268
Kaung Mu,97.7089493,21.911535,Taunggyi,1601,19,6.05,5.46,1,263,290,,0.0066,0.0114,290,DRD,Shan (South),16,KyiThe,160211,Kaung Mu,16021104006,20,20,263,Wam Khon,16021104,191,2228
Kone Kyaing,97.2210598,20.1302276,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Kone Kyaing,16010411019,0,0,0,Ta Bet,,0,0
Kawnglate,97.8732575,23.5308499,Mu Se,1502,20,6.98,5.59,1.14,153,169,,0.0066,0.0114,169,DRD,Shan (North),15,Kaut Khine,150215,Kawnglate,15021510001,20,20,153,Kaunglate,15021510,231,1609
Kongnio,96.6313192,22.7073039,Kyaukme,1503,20,6.98,5.59,1.14,325,359,,0.0066,0.0114,359,DRD,Shan (North),15,Kyaukme,150306,Kongnio,15030547007,,56,325,Loisount,,274,2500
Pan Koung,98.2513826,21.478492,Taunggyi,1601,19,6.05,5.46,1,179,198,,0.0066,0.0114,198,DRD,Shan (South),16,KyiThe,160211,Pan Koung,16021131003,12,12,179,Naung Taw,16021131,145,1752
Hte Swe,96.7154666,20.2556263,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Naung Ta Yar,160112,Hte Swe,16011212030,35,35,,Paw In,16011212,1272,6848
Mae Huong,96.76908,22.04409,Kyaukme,MMR015D003,,,,,,185,188,,,185,GAD+MIMU,Shan (North),MMR015,Nawnghkio,MMR015013,Mae Huong,209656,,,188,Inn Hpo,MMR015013012,,
Nar Mon,96.9260551,21.8151246,Taunggyi,1601,19,6.05,5.46,1,306,338,,0.0066,0.0114,338,DRD,Shan (South),16,Inn Taw,160113,Nar Mon,16011301018,68,63,306,Kyauk Gu,16011301,2069,9681
Henkyen,97.0559912,22.7571982,Kyaukme,1503,20,6.98,5.59,1.14,433,478,,0.0066,0.0114,478,DRD,Shan (North),15,Nam san,150309,Henkyen,15030919002,,72,433,Kyaukphyulay,,238,1754
Koung Wat,97.7719707,21.2153885,Taunggyi,1601,19,6.05,5.46,1,173,191,,0.0066,0.0114,191,DRD,Shan (South),16,Lae Char,160206,Koung Wat,16020603003,21,21,173,Hare Sai,16020603,164,1243
Nammaw,98.1420542,22.1261177,Lashio,1501,20,6.98,5.59,1.14,208,230,,0.0066,0.0114,230,DRD,Shan (North),15,Mongyai,150104,Nammaw,15010424004,,15,208,Man Kyu,15010424,415,2039
Mankyawng,97.9933561,23.3298828,Mu Se,1502,20,6.98,5.59,1.14,123,136,,0.0066,0.0114,136,DRD,Shan (North),15,Kaut Khine,150215,Mankyawng,15021513012,16,16,123,(38)Milemanpyain,15021513,704,4922
Kawngtup,97.5712143,23.172014,kyaukme,1503,20,6.98,5.59,1.14,54,60,,0.0066,0.0114,60,DRD,Shan (North),15,namtu,150308,Kawngtup,15030820007,,9,54,wainenan,,277,1659
Pinlein,96.5438174,22.10450863,NULL,NULL,19,5.71,5.27,1,269,320,,0.0117,0.012,320,DRD,Mandalay,1,Pyinoolwin,NULL,Pinlein,1010103701,NULL,63,269,Pinlein,NULL,63,269
Kaung Mu Vywar,97.2571485,20.2053898,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Kaung Mu Vywar,16010408010,0,0,0,Pin Son,,0,0
Loi-yawt,98.1302366,23.4161393,Mu Se,1502,20,6.98,5.59,1.14,138,152,,0.0066,0.0114,152,DRD,Shan (North),15,Kaut Khine,150215,Loi-yawt,15021516004,19,19,138,Lwekhan,15021516,320,2161
Kyue-la,99.0654,21.78327,Kyaington,1701,20,5.44,5.2,1.14,30,33,,0.0066,0.0114,33,DRD,Shan (East),17,Mongket,170102,Kyue-la,17010211022,8,6,30,Pakhalone,17010211,254,1182
Wanlone,99.6584837,21.2151484,kyaington,1701,20,5.44,5.2,1.14,297,328,,0.0066,0.0114,328,DRD,Shan (East),17,kyaington,170101,Wanlone,17010120023,56,56,297,Mong sem,17010120,1636,7947
Manhtam,97.1299228,22.296074,Kyaukme,1503,20,6.98,5.59,1.14,394,435,,0.0066,0.0114,435,DRD,Shan (North),15,Kyaukme,150306,Manhtam,15030560006,,50,394,Kyaukmegyi,,362,2635
Lay Htoe Kone,96.7115752,21.0224834,Taunggyi,1601,19,6.05,5.46,1,411,454,,0.0066,0.0114,454,DRD,Shan (South),16,PinTaYa,160106,Lay Htoe Kone,16010623001,0,85,411,Pinpyaw,16010623,342,1391
Man Leg(Banggaw Man Leg),97.4591526,23.8477047,Banmaw,902,21,7.96,6.01,1.28,246,282,,0.0091,0.0144,282,DRD,Kachin,9,Mansi,90210,Man Leg(Banggaw Man Leg),9021030003,41,35,246,BanGawHteinNo,9021030,156,1143
Hanwaing(haung),99.9446475,21.0379073,Mongpyek,1703,20,5.44,5.2,1.14,108,119,,0.0066,0.0114,119,DRD,Shan (East),17,Mongpyek,170310,Hanwaing(haung),17031006005,24,22,108,Monkarkyaung,17031006,144,713
Kyalok(1),100.15445,20.7401652,Tachileik,1704,20,5.44,5.2,1.14,60,66,,0.0066,0.0114,66,DRD,Shan (East),17,Tarlay,170414,Kyalok(1),17041402014,13,13,60,Monglin(west),17041402,571,2831
Na Wa,98.0642071,22.4375416,Lashio,1501,20,6.98,5.59,1.14,148,163,,0.0066,0.0114,163,DRD,Shan (North),15,Mongyai,150104,Na Wa,15010401005,,26,148,Na_hpi,15010401,223,1228
Nampawng,97.8559954,22.7584053,Lashio,1501,20,6.98,5.59,1.14,2711,2992,,0.0066,0.0114,2992,DRD,Shan (North),15,Lashio,150101,Nampawng,15010120001,466,0,2711,Nampawng,,748,5283
Myin Won,96.5338612,20.8961388,Taunggyi,1601,19,6.05,5.46,1,1001,1105,,0.0066,0.0114,1105,DRD,Shan (South),16,YwaNgan,160109,Myin Won,16010918004,168,168,1001,Myin Kya Doe,16010918,928,5116
Kaung Wham,96.9079118,19.7840567,Taunggyi,1601,19,6.05,5.46,1,506,558,,0.0066,0.0114,558,DRD,Shan (South),16,phekhon,160103,Kaung Wham,16010301003,83,83,506,Khaung Ae,16010301,673,4122
Mawawk,96.9827717,22.2848424,Kyaukme,1503,20,6.98,5.59,1.14,86,95,,0.0066,0.0114,95,DRD,Shan (North),15,Kyaukme,150306,Mawawk,15030521002,,12,86,Tonhkontai,,459,2246
Thuyaesu,96.7651361,20.7794851,Taunggyi,1601,19,6.05,5.46,1,266,294,,0.0066,0.0114,294,DRD,Shan (South),16,Kalaw,160102,Thuyaesu,16010221006,60,60,266,,,870,4066
Nar Lin,97.7438559,21.868578,Taunggyi,1601,19,6.05,5.46,1,172,190,,0.0066,0.0114,190,DRD,Shan (South),16,KyiThe,160211,Nar Lin,16021109003,20,20,172,Wam Chin,16021111,270,2343
Pain Nhae Kone,97.0806111,19.9369368,Taunggyi,1601,19,6.05,5.46,1,39,43,,0.0066,0.0114,43,DRD,Shan (South),16,phekhon,160103,Pain Nhae Kone,16010310007,20,20,39,Lwe Paw,16010310,302,2463
Naungkone,99.6305105,21.2957643,kyaington,1701,20,5.44,5.2,1.14,351,387,,0.0066,0.0114,387,DRD,Shan (East),17,kyaington,170101,Naungkone,17010114006,66,66,351,Naungkone,17010114,398,1945
Laysut,97.9207971,23.8544569,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Laysut,15021221004,,0,0,,,0,0
Myaynekyin **,96.6063,20.6734868,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Kalaw,160102,Myaynekyin **,16010217002,31,31,,,,113,574
Htonbo,96.56450748,22.06062341,NULL,NULL,19,5.71,5.27,1,250,298,,0.0117,0.012,298,DRD,Mandalay,1,Pyinoolwin,NULL,Htonbo,1010103201,NULL,59,250,Htonbo,NULL,183,866
ManKawng,97.6938652,23.7614796,Muse,1502,20,6.98,5.59,1.14,883,974,,0.0066,0.0114,974,DRD,Shan (North),15,Namkham,150213,ManKawng,15021318002,,124,883,Man Om,,127,1221
Shimukyaing,98.3618349,23.2291365,Kum Lone,1504,20,6.98,5.59,1.14,89,98,,0.0066,0.0114,98,DRD,Shan (North),15,Kum Lone,150416,Shimukyaing,15041624003,,15,89,Panhai,,259,1847
Mongloi,100.590278,21.342991,Mongpyek,1703,20,5.44,5.2,1.14,176,194,,0.0066,0.0114,194,DRD,Shan (East),17,Mongyu,170312,Mongloi,17031202001,35,35,176,Mongloi,17031202,99,485
Chithusaw(ahtet),96.793086,19.237022,Hpaan,1101,20,6.1,5.69,1.14,240,279,,0.01,0.0218,279,DRD,Kayin,11,Thantaung,110104,Chithusaw(ahtet),11010433003,0,42,240,Chithusaw(out),11010433,198,1126
Pang Ka Law,98.92949,21.66442,Kengtung,MMR016D001,,,,,,66,67,,,66,GAD+MIMU,Shan (East),MMR016,Matman,MMR016004,Pang Ka Law,213211,,16,67,Yawng Au,MMR016004007,,
Yoke Ngi,96.7748296,21.2865223,Taunggyi,1601,19,6.05,5.46,1,97,107,,0.0066,0.0114,107,DRD,Shan (South),16,Yarksaung,160107,Yoke Ngi,16010709012,27,21,97,Kyauk Taw,16010709,675,3298
Zonehkayal,97.6570673,23.7300821,Muse,1502,20,6.98,5.59,1.14,341,376,,0.0066,0.0114,376,DRD,Shan (North),15,Namkham,150213,Zonehkayal,15021326003,,38,341,Ta-kawn,,165,1745
Htan Chouk,96.5436586,21.2040501,Taunggyi,1601,19,6.05,5.46,1,79,87,,0.0066,0.0114,87,DRD,Shan (South),16,YwaNgan,160109,Htan Chouk,16010922008,22,22,79,Lin Way,16010922,353,1777
Doraw(upper),96.9162716,19.3484149,Loikaw,1001,20,5.88,5.5,1.14,123,154,,0.0151,0.0157,154,DRD,Kayah,10,Hpruso,100103,Doraw(upper),10010313008,29,22,123,Hoya,10010313,377,2186
Saw Lan Myauk,96.97977,19.94542,Taunggyi,1601,19,6.05,5.46,1,236,260,,0.0066,0.0114,260,DRD,Shan (South),16,Pin Laung,160108,Saw Lan Myauk,16010813012,40,40,236,Nan Toke,16010813,1028,5446
Mongpuawn,99.0751233,21.1899541,Mongsek,1702,20,5.44,5.2,1.14,1800,1986,,0.0066,0.0114,1986,DRD,Shan (East),17,Mongpyin,170207,Mongpuawn,17020705001,400,400,1800,Mongpuawn,17020705,400,1800
Ywyar Thit,96.6911668,21.1824689,Taunggyi,1601,19,6.05,5.46,1,438,483,,0.0066,0.0114,483,DRD,Shan (South),16,Yarksaung,160107,Ywyar Thit,16010707002,113,118,438,Ale Chaung,16010707,755,3516
Mong mao,99.2817287,21.2994833,Mongsek,1702,20,5.44,5.2,1.14,36,40,,0.0066,0.0114,40,DRD,Shan (East),17,Tontar,170205,Mong mao,17020501007,7,7,36,Pannaunglone,17020501,166,758
Kone Poke,97.8028169,20.8957965,Loilem,1602,19,6.05,5.46,1,187,206,,0.0066,0.0114,206,DRD,Shan (South),16,NamSan,160202,Kone Poke,16020202013,40,40,187,Ma Mong Moon,16020202,1220,6376
Kun Kyawng,98.2194599,22.0026544,Lashio,1501,20,6.98,5.59,1.14,80,88,,0.0066,0.0114,88,DRD,Shan (North),15,Mongyai,150104,Kun Kyawng,15010424020,,22,80,Man Kyu,15010424,415,2039
Shenkyawshwe,98.7302998,23.4699519,Kum Lone,1504,20,6.98,5.59,1.14,338,373,,0.0066,0.0114,373,DRD,Shan (North),15,Kum Lone,150416,Shenkyawshwe,15041606003,,47,338,Sanpya,,334,2541
Phakyaut,100.069078,20.9409083,Mongpyek,1703,20,5.44,5.2,1.14,73,81,,0.0066,0.0114,81,DRD,Shan (East),17,Mongpyek,170310,Phakyaut,17031003006,15,14,73,Nantkyann,17031003,247,1186
Ma Tin Pain,97.4212254,20.8522946,Taunggyi,1602,19,6.05,5.46,1,244,269,,0.0066,0.0114,269,DRD,Shan (South),16,Loi Lem,160201,Ma Tin Pain,16020102003,36,36,244,Nar Yan,16020102,564,3707
Konghoung,98.0800056,20.4639163,Loilem,1602,19,6.05,5.46,1,148,163,,0.0066,0.0114,163,DRD,Shan (South),16,moehnae,160203,Konghoung,16020307003,12,17,148,Nahlaing,16020307,155,1417
Naung Wo,96.7624446,20.3829904,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Naung Ta Yar,160112,Naung Wo,16011211003,54,54,,Lwe Maw,16011211,1370,7386
Nar Khae Lay,96.9216804,21.2594815,Taunggyi,1601,19,6.05,5.46,1,221,244,,0.0066,0.0114,244,DRD,Shan (South),16,Yarksaung,160107,Nar Khae Lay,16010702005,45,38,221,Hway,16010702,596,3098
Nanhoo,96.9213161,20.12759,Taunggyi,1601,19,6.05,5.46,1,200,221,,0.0066,0.0114,221,DRD,Shan (South),16,Nyaungshwe,160105,Nanhoo,16010534006,30,25,200,Lonkan,16010534,492,2556
Paing Kan,97.9655529,22.4838892,Lashio,1501,20,6.98,5.59,1.14,73,81,,0.0066,0.0114,81,DRD,Shan (North),15,Mongyai,150104,Paing Kan,15010402003,,15,73,Nawngmo,15010402,280,1447
Pachan(arkha),99.6251024,21.3846669,kyaington,1701,20,5.44,5.2,1.14,72,79,,0.0066,0.0114,79,DRD,Shan (East),17,kyaington,170101,Pachan(arkha),17010108016,16,16,72,Ketpha,17010108,1401,6521
