Name,Lat,Lon,pop,ho_size,EI_SubArea,PLN_Cabang,PROVINSI,XY_Source,target_hou,full_popul,500mBufYN,450mBufYN,475mBufYN,400mBufYN,425mBufYN,350mBufYN,375mBufYN,newpop
8.2011E+11,1.137549,127.486344,0.27957,2.698924731,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.139785,2,1,1,1,1,1,1,1,0
8.2011E+11,1.134488,127.482556,34.806465,2.698924731,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.139785,249,1,1,1,1,1,1,1,0
8.2011E+11,1.138445,127.489976,230.294075,4.264705882,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.317647,725,1,1,1,1,1,1,1,0
8.2011E+11,1.142148,127.491814,74.78259,3.739130435,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.173913,430,1,1,1,1,1,1,1,0
8.2011E+11,1.164145,127.499995,31.946535,4.129770992,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.236641,135,1,1,1,1,1,1,1,0
8.2011E+11,1.164145,127.500017,96.076246,4.129770992,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.236641,406,1,1,1,1,1,1,1,0
8.2011E+11,1.165234,127.499544,75.947976,3.948051948,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.441558,172,1,1,1,1,1,1,1,0
8.2011E+11,1.164803,127.500497,58.285656,3.948051948,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.441558,132,1,1,1,1,1,1,1,0
8.2011E+11,1.167525,127.49966,51.06,3.74,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.37,138,1,1,1,1,1,1,1,0
8.2011E+11,1.167135,127.500498,87.32,3.74,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.37,236,1,1,1,1,1,1,1,0
8.2011E+11,1.169736,127.499607,22.35293,4.176470588,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.235294,95,1,1,1,1,1,1,1,0
8.2011E+11,1.169695,127.500489,27.764692,4.176470588,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.235294,118,1,1,1,1,1,1,1,0
8.2011E+11,1.172694,127.499571,7.800039,3.493333333,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.066667,117,1,1,1,1,1,1,1,0
8.2011E+11,1.172556,127.500528,9.666715,3.493333333,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.066667,145,1,1,1,1,1,1,1,0
8.2011E+11,1.176682,127.499081,20.39661,4.551724138,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.12069,169,1,1,1,1,1,1,1,0
8.2011E+11,1.176487,127.500489,11.46555,4.551724138,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.12069,95,1,1,1,1,1,1,1,0
8.2011E+11,1.179171,127.499535,5.721733,3.495652174,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.121739,47,1,1,1,1,1,1,1,0
8.2011E+11,1.184551,127.505855,28.486926,3.495652174,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.121739,234,1,1,1,1,1,1,1,0
8.2011E+11,1.179773,127.500756,14.730419,3.495652174,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.121739,121,1,1,1,1,1,1,1,0
8.2011E+11,1.205188,127.530996,269.722528,5.089108911,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.524752,514,1,1,1,1,1,1,1,0
8.2011E+11,1.230612,127.537358,51.82736,3.455149502,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.049834,1040,1,1,1,1,1,1,1,0
8.20113E+11,1.456429,127.548254,148.57128,3.714285714,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.31746,468,1,1,1,1,1,1,1,0
8.20113E+11,1.463976,127.545799,271.9208,3.9408867,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.339901,800,1,1,1,1,1,1,1,0
8.20113E+11,1.476333,127.543859,41.50449,3.407079646,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.309735,134,1,1,1,1,1,1,1,0
8.20113E+11,1.473424,127.543832,77.743485,3.407079646,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.309735,251,1,1,1,1,1,1,1,0
8.20113E+11,1.483949,127.572918,92.854608,3.017094017,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.136752,679,1,1,1,1,1,1,1,0
8.20113E+11,1.487662,127.569621,3.692304,3.017094017,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.136752,27,1,1,1,1,1,1,1,0
8.20113E+11,1.487318,127.568441,96.661097,3.717741935,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.209677,461,1,1,1,1,1,1,1,0
8.20113E+11,1.495472,127.560051,148.676868,4.12992126,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.141732,1049,1,1,1,1,1,1,1,0
8.20113E+11,1.492387,127.553716,300.20487,4.056818182,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.420455,714,1,1,1,1,1,1,1,0
8.20113E+11,1.498385,127.554957,439.14771,4.217054264,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.426357,1030,1,1,1,1,1,1,1,0
8.20113E+11,1.495023,127.554227,15.348852,4.217054264,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.426357,36,1,1,1,1,1,1,1,0
8.20113E+11,1.500955,127.555809,9.379854,4.217054264,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.426357,22,1,1,1,1,1,1,1,0
